8160608	Лидское пиво	ООО "Пицца Стар"	4810285007559	Вода питьевая негазированная «АУРА», обработана с применением обратного осмоса и УФ-облучением, ПЭТ 0,5л.
001805	ИВЛ (сухой)	ООО "Пицца Стар"	4601674002282	Pikador Соус деликатесный барбекю ТЗ"ДОДО", 125шт*25гр
107231	Лидское пиво	ООО "Пицца Стар"	4810285016575	Концентрат для приготовления безалкогольных напитков в аппаратах системы "Постмикс" непаст. «СЕВЕН АП ЗЕРО» БИБ 10 л
001602	ИВЛ (мороз)	ООО "Пицца Стар"	4607036298317	Мясной продукт из мяса говядины копчено-вареный категории Б: "Пряная говядина" 3 кг
lok019	Крышар	ООО "Пицца Стар"	4813853008910	Трубочки коктейльные оранжевые прямые 8,5х190 (250шт х 10п) в индивидуальной полимерной упаковке
243411	ИмЭксТрейд	ООО "Пицца Стар"	9001414004029	Чеснок измельченный ТМ "KOTANYI" п/б 860г/1200 мл ШТУКА
001775	ИВЛ (холод)	ООО "Пицца Стар"	4813853008712	Сыр фасованный с голубой плесенью ТМ GRANDBLU Сливочный "БЛЮ ЧИЗ КРОШКА"м.д.ж. 56% 1,2кг.
000995	ИВЛ (сухой)	ООО "Пицца Стар"	4630043463027	Консервы. Соус томатный для пиццы ТЗ «Додо» 10 кг
268057313	Тибетрэй	ООО "Пицца Стар"	4607163091607	Сок "Сады Придонья" яблочно-вишневый осветленный восстановленный для питания детей старше 3-х лет, дошкольного и школьного возраста, 1л, 12 шт КОР
001640	ИВЛ (мороз)	ООО "Пицца Стар"	4813853008491	Мучное кондитерское изделие: Чизкейк карамельный с арахисом 1,2кг
MID001	Мидаспро	ООО "Пицца Стар"	4814708006105	Стакан бумажный для холодных и горячих жидкостей с двойной стенкой 350мл Додо Пицца, 700 шт
001710	ИВЛ (сухой)	ООО "Пицца Стар"	4620020805377	Стакан 650мл матовый, цвет прозрачный. Упаковка полимерная для пищевой продукции, 200 шт/кор
20076	Джон Дори	ООО "Пицца Стар"	4810333001676	Варено-мороженые водные беспозвоночные. Креветки королевские "VANNAMEI" 100/200 варено-мороженые очищенные, без головы, без хвоста, без вены, глазированные, 15*300г
118019662	Тибетрэй	ООО "Пицца Стар"	4607163091621	Сок "Сады Придонья" мультифруктовый с мякотью восстановленный для питания детей старше 3-х лет, дошкольного и школьного возраста, 1л, 12 шт КОР
000481	ИВЛ (сухой)	ООО "Пицца Стар"	4813853004806	Упаковка из комбинированных материалов для пищевой продукции «Контейнер 750 мл ДОДО», 360шт, 5,3кг
001440	ИВЛ (сухой)	ООО "Пицца Стар"	4660217640374	Соус "Сладкий чили" ТЗ "ДОДО" 9 шт*0,5 кг
lok021	Крышар	ООО "Пицца Стар"	4812491006128	Самоклеящиеся этикетки ненапечатанные из бумаги (40*110/40-500 Т. Эко), ШТУКА
